X,Vx,U0,roll,roll_sp,Y,Vy,U1,pitch,pitch_sp,yaw,yaw_sp,TorqueYaw,Ez,Z,Vz,Tm,pwmedf,s0,s1,s2  
-0.12129, -0.06181,   0.26256, -1.22239, -0.75547,        0.01216, 0.06935,   0.12055, 1.14882, -0.80521,         36.48488, 60.00000, 0.12410,            0.43981, 0.43622, -0.19852,   23.46510, 1519,      3,3,3    
-0.12222, -0.11187,   0.40503, -1.26923, -0.88977,        0.01250, 0.09809,   0.02348, 1.10794, -0.89786,         35.96349, 60.00000, 0.12543,            0.41982, 0.43429, -0.20558,   23.53130, 1519,      3,3,2    
-0.12307, -0.09437,   0.52549, -1.28625, -0.92054,        0.01347, 0.12925,   -0.10991, 1.09959, -0.79431,        35.75787, 60.00000, 0.13005,            0.43981, 0.43319, -0.19729,   23.48702, 1519,      3,3,2    
-0.12537, -0.40352,   0.37443, -1.33316, -1.36567,        0.01433, 0.08413,   -0.33963, 1.08196, -1.77469,        35.21385, 60.00000, 0.13046,            0.41981, 0.43080, -0.20331,   23.55071, 1520,      3,3,2    
-0.12865, -0.46874,   0.50035, -1.35252, -1.39639,        0.01494, 0.03115,   -0.58948, 1.08032, -2.09657,        35.01684, 60.00000, 0.13330,            0.43980, 0.43040, -0.22511,   23.70147, 1522,      3,3,2    
-0.13378, -0.45544,   0.52737, -1.39749, -1.50476,        0.01567, 0.09479,   -0.54353, 1.09607, -1.97696,        34.67114, 60.00000, 0.13431,            0.41980, 0.42909, -0.05146,   22.55105, 1506,      3,3,2    
-0.13675, -0.19656,   0.55399, -1.44492, -0.91034,        0.01623, -0.01351,   -0.38817, 1.09789, -1.48015,       34.27692, 60.00000, 0.12964,            0.41979, 0.42756, -0.30748,   24.27960, 1530,      3,3,2    
-0.13833, -0.15035,   0.38298, -1.46820, -0.84160,        0.01653, -0.01297,   -0.42736, 1.09152, -1.36318,       33.93185, 60.00000, 0.14011,            0.43978, 0.42545, -0.55315,   25.94491, 1552,      3,3,2    
-0.13952, -0.10098,   0.58654, -1.52255, -0.95608,        0.01676, 0.09157,   -0.33986, 1.09093, -1.03513,        33.57516, 60.00000, 0.12959,            0.43976, 0.42170, -0.51085,   25.69906, 1549,      3,3,2    
-0.14123, -0.19423,   0.81724, -1.55406, -1.25894,        0.01789, 0.16865,   -0.56696, 1.11174, -1.17311,        33.23140, 60.00000, 0.13505,            0.41977, 0.41719, -0.43791,   25.25918, 1543,      3,3,2    
